gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Victor,Christensen,9124,Fuglebakken,Viby Sj.,Midtjylland,Denmark,17708,-43.4859,-41.5229,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",victor.christensen@example.com,f18e3f71-3cef-433e-8b29-a7352ae89732,blacklion707,pppp,pX67ol4G,b9d0097619ce366c09ecc47b95bb83f4,a8cf70a4f65602b63f54061652c9512e015a6670,1b4123b4dd3f692a7e5608f9689d6e5802e3a7745aeee32907b1719354f14e0a,1972-05-03T01:16:16.639Z,52,2006-08-16T15:24:15.642Z,18,16856421,57710209,CPR,020572-1955,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,DK
female,Mrs,Remedios,Medina,3217,Avenida de Salamanca,Granada,Galicia,Spain,62746,3.8688,105.8750,+10:00,"Eastern Australia, Guam, Vladivostok",remedios.medina@example.com,c2040f2e-984d-4d86-b525-a934fce468fa,redbutterfly159,webber,np7W5qzH,5b1fcb10ce8b23b3ef2c5c45f9b7f231,28ff36db94048a45b920a668a485136f32478b5b,5e6b62c856fc43e3ad8c09f811a31c76733b3acb30930c6a9119c13507230fc0,1978-07-22T03:55:56.334Z,46,2019-04-30T17:49:33.456Z,5,995-593-298,635-147-467,DNI,66701051-K,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,ES
female,Mrs,Jesús,Bravo,7900,Paseo de Zorrilla,Parla,La Rioja,Spain,26740,-73.7982,-156.1211,-7:00,Mountain Time (US & Canada),jesus.bravo@example.com,9d0f88f5-4ed5-4927-b7ac-bac021926487,yellowdog891,snickers,tzHgnyIQ,0eb7dcc8daeb02cfd7ee8a23d1add99e,992b379ab8414aec7563e7578e394b5bd2a2e4dd,6427b95dfe9e067f4c64990a5a85a17f90743540806c23c1d7f26753fba3c37c,1952-05-22T19:37:10.757Z,72,2004-10-16T20:04:47.467Z,19,987-118-478,675-496-296,DNI,73907698-Z,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,ES
female,Mrs,Cindy,Nyheim,1024,Abbedisvingen,Grøa,Rogaland,Norway,3277,-77.8457,54.2400,+8:00,"Beijing, Perth, Singapore, Hong Kong",cindy.nyheim@example.com,2cfac246-8136-48bd-b2e2-22ec22e7cec8,brownmouse225,hornets,DgD7nnow,1a078291fa5ad0fc24e0b1fb870f6787,af4145943c100d4c1065810402340dacdda83e5c,2ea5590a432b5896f6589b436e5b8fbff9eb3c8934d968190c684abbe709d72c,1960-08-20T02:33:42.130Z,64,2014-03-08T04:02:26.969Z,10,39902297,91082717,FN,20086012449,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,NO
female,Miss,Elusa,Vieira,8676,Rua Principal,Alagoinhas,Piauí,Brazil,52399,-4.4394,154.1169,+3:30,Tehran,elusa.vieira@example.com,94fbc5f0-cafe-4fbd-b96d-103ad717f333,beautifulwolf336,moonligh,BRK1kqEk,00fc2723a963431dd9d1c78092191c86,2fb5d48ea94f65022998eddd9559b73baaf2c1c4,4bbadc5f285dfa0a6c62cd6cf7a641272f2778d484ce4e43f3d951bdbf19260b,1999-04-11T13:38:03.859Z,25,2008-12-14T23:55:32.886Z,15,(15) 1841-1019,(97) 7436-7940,CPF,566.134.885-61,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,BR
female,Ms,Kayla,Ruiz,1074,The Green,Canterbury,Grampian,United Kingdom,H98 0WA,-23.7437,-19.2332,-7:00,Mountain Time (US & Canada),kayla.ruiz@example.com,39249c5f-e044-4ecc-90d3-b2b5b51e4f39,orangefish188,intruder,UrQCXUeJ,9631e023dd38ee9dcb3ec8163fda4a80,7f319358e75f808a0fe2d022385bf53826512243,c876af655dc3eec51064c6ff53646bf50c482adbc85cb5cb7cc4807bf611028e,1946-10-08T07:59:15.891Z,77,2015-06-07T02:29:57.428Z,9,0119940 394 2435,07128 423543,NINO,PM 71 29 37 K,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,GB
female,Mrs,María,Gutiérrez,931,Avenida de Burgos,Sevilla,Aragón,Spain,56211,66.1782,16.0130,+4:30,Kabul,maria.gutierrez@example.com,0a76b9d2-4729-40f4-b521-81e62211eebb,organiccat844,rasta,pugpWqWZ,e73fdeb2133657b9806043e93ec36da9,45f15c4acf665a056a86420d2790135bab152da3,76f5c754717305c68817043253b9db2d542d89c811cebff82756f7e9e7d4972a,1945-03-05T08:05:12.302Z,79,2013-02-02T08:26:37.423Z,11,984-743-730,697-102-583,DNI,94619151-M,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,ES
female,Mademoiselle,Catia,Roche,5480,Rue Desaix,Mervelier,Thurgau,Switzerland,2690,-13.5064,-56.9702,-7:00,Mountain Time (US & Canada),catia.roche@example.com,acf608ba-367d-4d99-97a8-cb21e26bb4a7,bluemeercat980,wrench,PbBy3YWr,d490258c8c40346450b7ea56b074ed64,d5c14126bee1b4fdcaa7ed63bf17931c6ec155cd,9f06781c1b99e69cf10de01fe7173e15d6cdc8b440e4e9277271320c1c86c80b,1961-10-23T13:48:12.276Z,62,2010-01-11T17:18:48.971Z,14,078 057 86 22,078 083 67 29,AVS,756.1189.7803.12,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,CH
female,Ms,Jo,Garza,3595,Lovers Ln,Detroit,Alaska,United States,55502,52.5195,87.9832,+3:30,Tehran,jo.garza@example.com,1978410a-620e-441f-a301-d861bffee715,happygoose601,penguins,s1IQPOcB,9184b64d1086f19aabc829c54d193ab6,9853556fbc21eaea75f19149e905d8657c0fc3b7,714b0707157c0b583d7f25e0cdce8d5927c384993e688034db63bb62a608547c,1946-06-30T13:04:26.016Z,78,2011-01-11T07:07:58.543Z,13,(486) 583-8481,(703) 759-4242,SSN,058-72-4204,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Antoine,Vincent,7034,Rue du Château,Reims,Haute-Savoie,France,19947,74.9162,-9.2596,-11:00,"Midway Island, Samoa",antoine.vincent@example.com,3758c05f-9db6-403c-ae12-8ee8bd83f58d,brownbird333,snakes,8NoglPqe,32b5b63e40ef2c5b58e254895b4ef8d0,b2f03e7c1c754f06650c95179a81da179f20b05a,ca1c90cb7a27c262856f17445eff137b8c41bb5b0652685a847a3f181e47b18e,1996-04-09T08:23:24.476Z,28,2009-09-22T15:07:45.111Z,14,05-52-31-70-72,06-48-00-18-37,INSEE,1960330024572 79,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,FR
